date,pm25
12/1/2014,13.40848006
12/2/2014,11.22313065
12/3/2014,7.4019405
12/4/2014,7.137470616
8/5/2014,55.39466448
9/5/2014,44.61814522
10/5/2014,169.7075145
11/5/2014,35.86225831
12/5/2014,66.98886338
13/5/2014,27.76864032
14/5/2014,60.53563904
15/5/2014,23.83771689
18/5/2014,8.542254098
19/5/2014,7.700928482
20/5/2014,24.92197031
21/5/2014,14.76783073
22/5/2014,32.31202749
23/5/2014,4.398914729
25/5/2014,16.25969444
26/5/2014,29.35359907
27/5/2014,33.50968778
28/5/2014,8.521852315
29/5/2014,16.23453631
30/5/2014,23.34640912
31/5/2014,16.46026561
1/6/2014,15.05670455
2/6/2014,15.74264526
3/6/2014,25.30212605
4/6/2014,18.89971284
5/6/2014,10.63793189
9/6/2014,12.46084656
10/6/2014,12.52142982
11/6/2014,15.96388021
12/6/2014,10.52195599
13/6/2014,15.61206738
14/6/2014,21.31095841
15/6/2014,18.99978702
16/6/2014,27.54711111
17/6/2014,37.84468037
18/6/2014,30.58969334
19/6/2014,42.59082027
20/6/2014,37.62930303
21/6/2014,43.3317304
22/6/2014,27.87628849
23/6/2014,22.14091483
24/6/2014,16.23801227
25/6/2014,33.11125835
26/6/2014,43.78397688
27/6/2014,24.60498343
28/6/2014,19.07424612
29/6/2014,8.150616943
30/6/2014,5.725073788
1/7/2014,3.002158273
2/7/2014,8.254684932
3/7/2014,8.996083762
4/7/2014,8.647165932
5/7/2014,6.223618352
6/7/2014,9.382291667
7/7/2014,8.182274619
8/7/2014,10.64060755
9/7/2014,8.434916084
10/7/2014,10.1378169
12/7/2014,8.311559343
13/7/2014,13.52449244
14/7/2014,30.43236111
15/7/2014,26.61294486
16/7/2014,12.29919444
17/7/2014,7.14568741
18/7/2014,10.32606944
20/7/2014,23.16460733
21/7/2014,34.22572409
22/7/2014,40.92213182
23/7/2014,31.85259206
24/7/2014,37.28722702
25/7/2014,19.86225
26/7/2014,23.44550714
27/7/2014,48.49225406
28/7/2014,75.98481752
30/7/2014,13.82666667
31/7/2014,11.025
3/8/2014,14.05551402
4/8/2014,16.54287193
5/8/2014,15.68012012
6/8/2014,9.35280716
7/8/2014,12.32404167
8/8/2014,7.836633127
9/8/2014,8.572782051
10/8/2014,16.12360544
11/8/2014,13.20478827
12/8/2014,8.37347864
13/8/2014,6.208673913
14/8/2014,3.816754508
15/8/2014,5.435205966
16/8/2014,6.937388342
17/8/2014,9.813864985
18/8/2014,7.976052345
19/8/2014,8.131230366
20/8/2014,6.882402778
21/8/2014,9.62165404
22/8/2014,19.08745846
23/8/2014,15.59737117
24/8/2014,20.28117703
25/8/2014,9.438647107
26/8/2014,4.100131579
27/8/2014,6.3694315
28/8/2014,11.55015953
29/8/2014,14.02114286
1/9/2014,12.262
3/9/2014,9.98992126
7/9/2014,7.693494282
8/9/2014,6.909333333
9/9/2014,8.517374552
10/9/2014,6.169748172
11/9/2014,7.894856301
12/9/2014,7.851306865
13/9/2014,9.883654559
14/9/2014,10.94406371
15/9/2014,13.43173228
16/9/2014,9.329432535
17/9/2014,14.9863861
18/9/2014,23.44905159
19/9/2014,41.38629843
20/9/2014,25.00821459
21/9/2014,5.880076142
22/9/2014,17.68495743
23/9/2014,19.33657923
24/9/2014,19.00235772
27/9/2014,7.074920635
28/9/2014,8.650217114
29/9/2014,14.90565182
30/9/2014,13.67769285
1/10/2014,15.33398764
2/10/2014,15.66119099
3/10/2014,11.96109158
4/10/2014,9.400364109
5/10/2014,3.946684588
6/10/2014,4.786058952
7/10/2014,6.745844636
